Citation/Document Number,Type,Relation
"ES2952717","Patent","Citation Family Member"
"TW201630936","Patent","Citation Family Member"
"KR20170086662","Patent","Citation Family Member"
"CN107207593","Patent","Citation Family Member"
"IN201717019999","Patent","Citation Family Member"
"PH2017500994","Patent","Citation Family Member"
"ID201800809","Patent","Citation Family Member"
"RU2017118225","Patent","Citation Family Member"
"NZ731735","Patent","Citation Family Member"
"MY193404","Patent","Citation Family Member"
"ZA201703438","Patent","Citation Family Member"
"IL252280","Patent","Citation Family Member"
"PE20171180","Patent","Citation Family Member"
"WO16092419","Patent","Citation Family Member"
"WO2016092419","Patent","Citation Family Member"
"SG11201703950P","Patent","Citation Family Member"
"PE11802017","Patent","Citation Family Member"
"EP3230319","Patent","Citation Family Member"
"MX2017007537","Patent","Citation Family Member"
