Citation/Document Number,Type,Relation
"MK11742","Patent","Citation Family Member"
"SI2935329","Patent","Citation Family Member"
"CY1123708","Patent","Citation Family Member"
"JP2016504336","Patent","Citation Family Member"
"HU052134","Patent","Citation Family Member"
"DK2935329","Patent","Citation Family Member"
"PL2935329","Patent","Citation Family Member"
"ES2833046","Patent","Citation Family Member"
"KR20160089524","Patent","Citation Family Member"
"KR20160089531","Patent","Citation Family Member"
"KR20160089532","Patent","Citation Family Member"
"CN105828837","Patent","Citation Family Member"
"KR20160099092","Patent","Citation Family Member"
"CN105899535","Patent","Citation Family Member"
"CN105934253","Patent","Citation Family Member"
"CN106102774","Patent","Citation Family Member"
"CN106999583","Patent","Citation Family Member"
"KR20170096112","Patent","Citation Family Member"
"RU2016128711","Patent","Citation Family Member"
"RU2016126662","Patent","Citation Family Member"
"RU2016128894","Patent","Citation Family Member"
"RU2016128726","Patent","Citation Family Member"
"RU2017121096","Patent","Citation Family Member"
"CN112353943","Patent","Citation Family Member"
"KR20220136459","Patent","Citation Family Member"
"NZ720515","Patent","Citation Family Member"
"NZ760065","Patent","Citation Family Member"
"MY189089","Patent","Citation Family Member"
"ZA201603753","Patent","Citation Family Member"
"KR20240017102","Patent","Citation Family Member"
"KR20250024856","Patent","Citation Family Member"
"IL246251","Patent","Citation Family Member"
"IL246183","Patent","Citation Family Member"
"IL252251","Patent","Citation Family Member"
"IL246228","Patent","Citation Family Member"
"IL245857","Patent","Citation Family Member"
"WO15095410","Patent","Citation Family Member"
"WO2015095410","Patent","Citation Family Member"
"WO15095418","Patent","Citation Family Member"
"WO2015095418","Patent","Citation Family Member"
"WO16081384","Patent","Citation Family Member"
"WO2016081384","Patent","Citation Family Member"
"EP3083690","Patent","Citation Family Member"
"EP3083692","Patent","Citation Family Member"
"MX2016007965","Patent","Citation Family Member"
"MX2016007887","Patent","Citation Family Member"
"MX2016007972","Patent","Citation Family Member"
"MX2016007885","Patent","Citation Family Member"
"SG11201604875P","Patent","Citation Family Member"
"SG11201604956S","Patent","Citation Family Member"
"SG11201604979W","Patent","Citation Family Member"
"SG11201604995Y","Patent","Citation Family Member"
"SG11201703605Q","Patent","Citation Family Member"
"EP3221360","Patent","Citation Family Member"
"MX2017006320","Patent","Citation Family Member"
"HK1225634","Patent","Citation Family Member"
"HK1226951","Patent","Citation Family Member"
"HK1228409","Patent","Citation Family Member"
"HK1230525","Patent","Citation Family Member"
"HK1241729","Patent","Citation Family Member"
"SG10201807625P","Patent","Citation Family Member"
"SG10201808519V","Patent","Citation Family Member"
"EP3527587","Patent","Citation Family Member"
"EP3647324","Patent","Citation Family Member"
"SG10202002334P","Patent","Citation Family Member"
"EP3680254","Patent","Citation Family Member"
"HK40045341","Patent","Citation Family Member"
"MX2021013520","Patent","Citation Family Member"
"WO15095404","Patent","Citation Family Member"
"WO2015095404","Patent","Citation Family Member"
"EP3083686","Patent","Citation Family Member"
"EP3083687","Patent","Citation Family Member"
"BR112016013741","Patent","Citation Family Member"
"BR112016013963","Patent","Citation Family Member"
"BR112016013969","Patent","Citation Family Member"
"BR112016013896","Patent","Citation Family Member"
"BR112017010198","Patent","Citation Family Member"
"JP2019142900","Patent","Citation Family Member"
"JP2020111580","Patent","Citation Family Member"
"JP2022061996","Patent","Citation Family Member"
"JP2025020147","Patent","Citation Family Member"
"US2015190506","Patent","Citation Family Member"
"US2015210772","Patent","Citation Family Member"
"AU2014364587","Patent","Citation Family Member"
"US2016166685","Patent","Citation Family Member"
"CA2931812","Patent","Citation Family Member"
"AU2014364593","Patent","Citation Family Member"
"AU2014364601","Patent","Citation Family Member"
"AU2014364606","Patent","Citation Family Member"
"CA2934028","Patent","Citation Family Member"
"CA2933881","Patent","Citation Family Member"
"CA2933883","Patent","Citation Family Member"
"US2016257752","Patent","Citation Family Member"
"US2017008971","Patent","Citation Family Member"
"AR102680","Patent","Citation Family Member"
"AU2015350242","Patent","Citation Family Member"
"US2017290913","Patent","Citation Family Member"
"CA2967368","Patent","Citation Family Member"
"US2018171025","Patent","Citation Family Member"
"US2018303936","Patent","Citation Family Member"
"US2020131276","Patent","Citation Family Member"
"AU2020233642","Patent","Citation Family Member"
"US2020392249","Patent","Citation Family Member"
"US2021189004","Patent","Citation Family Member"
"US2022002437","Patent","Citation Family Member"
"US2022306766","Patent","Citation Family Member"
"IL296657","Patent","Citation Family Member"
"US2023203194","Patent","Citation Family Member"
"US2024076404","Patent","Citation Family Member"
"US2024309111","Patent","Citation Family Member"
"US2025084185","Patent","Citation Family Member"
"US2025154282","Patent","Citation Family Member"
"US2026028419","Patent","Citation Family Member"
"CA3253508","Patent","Citation Family Member"
"MX389667","Patent","Citation Family Member"
"RS59659","Patent","Citation Family Member"
"KR102447878","Patent","Citation Family Member"
"KR102630750","Patent","Citation Family Member"
"JP6841656","Patent","Citation Family Member"
"JP7645204","Patent","Citation Family Member"
"US10570213","Patent","Citation Family Member"
"RU2719487","Patent","Citation Family Member"
"DE602014061314","Patent","Citation Family Member"
"DE602014055686","Patent","Citation Family Member"
"LT3083686","Patent","Citation Family Member"
"PT3083686","Patent","Citation Family Member"
"HR20192288","Patent","Citation Family Member"
"SI3083686","Patent","Citation Family Member"
"JP2017501155","Patent","Citation Family Member"
"JP2017501157","Patent","Citation Family Member"
